Time(us),Frequency(kHz)
9043074,3065028
9053080,3088332
9063085,3082252
9073089,3087950
9083092,3081392
9093098,3087631
9103101,3081524
9113102,3088301
9123108,3082404
9133115,3081748
9143119,3072489
9153124,3058216
9163129,2951653
9173135,2962188
9183138,2993043
9193142,3074837
9203147,2963260
9213154,2933180
9223163,3066638
9233167,3081549
9243170,3066112
9253173,3082150
9263179,3072250
9273182,3087843
9283186,3047816
9293189,3075602
9303196,3075537
9313197,3075601
9323203,3072452
9333209,3080953
9343216,3066444
9353223,3081436
9363229,3078967
9373232,3084508
9383237,3068922
9393243,3084033
9403246,3078499
9413250,3069651
9423257,3072314
9433262,3081645
9443265,3078649
9453267,3078345
9463269,3072788
9473275,3087706
9483280,3081678
9493286,3075546
9503290,3066357
9513293,3075797
9523297,3066265
9533299,3075459
9543304,3068898
9553311,3079247
9563318,3072443
9573322,3081745
9583326,3069073
9593333,3081734
9603338,3075310
9613345,3087964
9623352,3059606
9633356,3081293
9643357,3065897
9653364,3081948
9663370,3078870
9673377,3088027
9683380,3081105
9693383,3087900
9703388,3081406
9713395,3080510
9723399,3073087
9733405,3069455
9743409,3062685
9753413,3075833
9763415,3071965
9773421,3078305
9783427,3072625
9793430,3078423
9803432,3081575
9813433,3088288
9823439,3081638
9833444,3088288
9843451,3082385
9853454,3083527
9863456,3072493
9873460,3084703
9883462,3082066
9893464,3081510
9903465,3077954
9913468,3085125
9923472,3078892
9933476,3084734
9943482,3061952
9953483,3084738
9963488,3079176
9973495,3084899
9983500,3065980
9993507,3075059
10003510,3059855
10013513,3079162
10023519,3060685
10033521,3077113
10043528,3072280
10053531,3055928
10063537,3054350
10073540,3069704
10083542,3053953
10093545,3075366
10103552,3047252
10113555,3081810
10123559,3072559
10133563,3084453
10143565,3082145
10153569,3088304
10163572,3081616
10173578,3088171
10183583,3045703
10193588,2986811
10203595,3042058
10213600,3033812
10223606,2985937
10233609,3024894
10243614,3071129
10253618,3076083
10263623,3040981
10273625,3017564
10283633,2970655
10293636,3075148
10303640,3075322
10313646,3078738
10323651,3072173
10333655,3082120
10343658,3082439
10353661,3087667
10363667,3082121
10373669,3088374
10383672,3081770
10393677,3087786
10403681,3075145
10413686,3087924
10423692,3081878
10433693,3087462
10443700,3081603
10453703,3077923
10463705,3066410
10473711,3084744
10483712,3072548
10493717,3081687
10503719,3075581
10513726,3087771
10523731,3075326
10533736,3056290
10543739,3045854
10553743,3071182
10563748,3059980
10573754,3078027
10583758,3074294
10593765,3062604
10603767,3055343
10613772,3078623
10623773,3075490
10633775,3084528
10643778,3062018
10653781,3078397
10663787,3075425
10673791,3078585
10683797,3069183
10693801,3081275
10703804,3072351
10713807,3081581
10723811,3072485
10733813,3081415
10743819,3066389
10753820,3078670
10763821,3079109
10773823,3069794
10783826,3069143
10793830,3084952
10803834,3075602
10813840,3078109
10823844,3079063
10833851,3080913
10843857,3074845
10853858,3071073
10863861,3079107
10873868,3078339
10883872,3064253
10893876,3078420
10903881,3062731
10913883,3069824
10923888,3066276
10933893,3075320
10943894,3070057
10953901,3075573
