Time(us),Frequency(kHz)
8753113,3085245
8763115,3082031
8773116,3088084
8783118,3082379
8793123,3088447
8803126,3081922
8813132,3087926
8823135,3081361
8833138,3087822
8843139,3082531
8853142,3088362
8863144,3081689
8873145,3088024
8883150,3068644
8893153,3077985
8903158,3048617
8913164,3078671
8923167,3066331
8933172,3074850
8943178,3061691
8953181,3054776
8963183,2882413
8973190,2984872
8983191,2909333
8993196,2997718
9003197,3068916
9013202,3053407
9023204,3059934
9033209,2949023
9043211,3066117
9053213,3081561
9063219,3078212
9073223,3084456
9083224,3068945
9093228,3084669
9103234,3069819
9113238,3078720
9123240,3066359
9133247,3072542
9143250,3066007
9153253,3084913
9163259,3075244
9173262,3085029
9183269,3075036
9193276,3072877
9203277,3066479
9213282,3081613
9223283,3071056
9233287,3075656
9243294,3072188
9253301,3081558
9263305,3082226
9273308,3087617
9283315,3074720
9293317,3087914
9303321,3069039
9313324,3075554
9323326,3071865
9333331,3058138
9343333,3075994
9353339,3081425
9363342,3066540
9373348,3081647
9383353,3075251
9393358,3084362
9403365,3065958
9413366,3081563
9423370,3078866
9433376,3088180
9443379,3081086
9453381,3081147
9463385,3082324
9473390,3088185
9483396,3082146
9493399,3081164
9503401,3072506
9513402,3081800
9523409,3066309
9533416,3072453
9543421,3066397
9553423,3078668
9563424,3069367
9573431,3083908
9583435,3082148
9593441,3087858
9603444,3081923
9613446,3078818
9623449,3072336
9633456,3081572
9643457,3072723
9653462,3069619
9663466,3072680
9673467,3081602
9683474,3072294
9693477,3075405
9703479,3075002
9713480,3087662
9723484,3081875
9733487,3088062
9743493,3060700
9753495,3081688
9763500,3065801
9773501,3081636
9783507,3066381
9793510,3081926
9803515,3075490
9813522,3078510
9823525,3072955
9833530,3082013
9843532,3072127
9853538,3081418
9863542,3061055
9873545,3081686
9883551,3073086
9893556,3088395
9903562,3060271
9913568,3075593
9923575,3072475
9933578,3084493
9943585,3066156
9953588,3081458
9963592,3081556
9973594,3072002
9983597,3062945
9993603,3069341
10003608,3047647
10013612,2999059
10023618,2984297
10033626,2936605
10043631,2925776
10053637,3017961
10063642,2906243
10073645,3081438
10083651,3078172
10093655,3087740
10103662,3074968
10113663,3087780
10123668,3081322
10133671,3088018
10143678,3072773
10153683,3082077
10163684,3068729
10173690,3081712
10183694,3060383
10193700,3081646
10203705,3073024
10213707,3088102
10223711,3081643
10233716,3063198
10243722,3068984
10253724,3081233
10263728,3075265
10273732,3078658
10283736,3072395
10293743,3081372
10303745,3075516
10313749,3088373
10323752,3081534
10333760,3088049
10343765,3081429
10353772,3084821
10363774,3075105
10373781,3087898
10383788,3082440
10393793,3088245
10403800,3070630
10413803,3075333
10423806,3072456
10433812,3084942
10443816,3067315
10453818,3077861
10463825,3069317
10473829,3081379
10483832,3077401
10493834,3087937
10503837,3080991
10513841,3080891
10523847,3082296
10533854,3087393
10543856,3074761
10553859,3081996
10563865,3078856
10573867,3087777
10583873,3081408
10593877,3081850
10603881,3051750
10613885,3069180
10623886,3053756
10633889,3062843
10643891,3060407
10653894,3081108
10663895,3078003
10673902,3081780
10683909,3072601
10693913,3082013
10703918,3066203
10713922,3078088
10723929,3078458
10733934,3068318
10743939,3061017
10753946,3081663
10763949,3074437
10773956,3079911
10783963,3072373
10793969,3074796
10803973,3072754
10813979,3087713
10823983,3082098
10833985,3088157
10843988,3081650
10853990,3087489
10863992,3064876
10873992,3082022
10883995,3072023
10894001,3087868
10904006,3071420
10914009,3081037
10924011,3068384
10934013,3081841
10944019,3072479
10954023,3081395
10964028,3072271
10974032,3075693
10984039,3065680
10994046,3076087
11004050,3072493
11014054,3085145
11024055,3075827
11034061,3072589
11044067,3060670
11054071,3081521
11064075,3075448
11074078,3055909
11084083,2996630
11094090,3075001
11104097,3072130
11114102,3061479
11124103,2964021
11134106,2990028
11144112,3060425
11154117,3075563
11164123,3072056
11174125,3084384
11184132,3081485
11194136,3078369
11204137,3072433
11214141,3080792
11224144,3066308
11234147,3081677
11244152,3079370
11254155,3087740
11264156,3072256
11274162,3079015
11284165,3061997
11294167,3081739
11304169,3065674
11314177,3081943
11324180,3078462
11334182,3088045
11344185,3082455
11354190,3087571
11364195,3075383
11374199,3078630
11384205,3065346
11394209,3063140
11404214,3067229
11414217,3070823
11424217,3072661
11434224,3075856
11444229,3069440
11454236,3084878
11464241,3081536
11474242,3075581
11484249,3072305
11494251,3075330
11504254,3071939
11514259,3080972
11524262,3072027
11534263,3078577
11544269,3074940
11554276,3083977
