Time(us),Frequency(kHz)
7242165,3081835
7252169,3072941
7262175,3084478
7272178,3054114
7282183,3081667
7292184,3078018
7302190,3087415
7312192,3068959
7322195,3081560
7332198,3078794
7342205,3087609
7352208,3071027
7362214,3068762
7372219,3072841
7382220,3081918
7392227,3081321
7402228,3081847
7412232,3058779
7422238,2969480
7432240,3020204
7442242,2940139
7452246,2992794
7462250,2962069
7472257,3003079
7482264,3036632
7492271,3072332
7502277,3081810
7512281,3082281
7522288,3087918
7532293,3082228
7542296,3087759
7552299,3081146
7562300,3087657
7572306,3075883
7582311,3075805
7592317,3066285
7602321,3081750
7612325,3054163
7622325,3072307
7632332,3072481
7642337,3075563
7652339,3069226
7662344,3084902
7672351,3081999
7682354,3088198
7692359,3082296
7702360,3087980
7712366,3081661
7722368,3075521
7732373,3072067
7742377,3081408
7752383,3081462
7762385,3087650
7772387,3082049
7782390,3081359
7792393,3060430
7802396,3072178
7812400,3058526
7822402,3075881
7832403,3072295
7842408,3063088
7852411,3075718
7862417,3087972
7872422,3082563
7882428,3088319
7892434,3068718
7902437,3066922
7912441,3053848
7922446,3075820
7932451,3063011
7942455,3081528
7952460,3066730
7962466,3081342
7972469,3072447
7982471,3085181
7992473,3069267
8002476,3081536
8012479,3072378
8022480,3071772
8032482,3080999
8042483,3087691
8052490,3072856
8062496,3070857
8072501,3054239
8082505,3072801
8092510,3053835
8102516,3075735
8112521,3065446
8122526,3081754
8132533,3074996
8142540,3087915
8152547,3069701
8162543,3071574
8172709,3076727
8182714,3075908
8192724,3076049
8202729,3076531
8212732,3071175
8222738,3069667
8232743,3077948
8242751,3084153
8252752,3085619
8262758,3071530
8272762,3078489
8282763,3073379
8292765,3083384
8302770,3076584
8312776,3075902
8322777,3063534
8332784,3072821
8342786,3069291
8352790,3060755
8362792,3069206
8372796,3066909
8382797,3073114
8392807,3073317
8402812,3050575
8412816,3080236
8422821,3069951
8432825,3086786
8442832,3082430
8452836,3088096
8462843,3067203
8472851,3080424
8482854,3021140
8492859,2964180
8502857,2956410
8512874,3057939
8522870,2984335
8532887,2935136
8542897,3065900
8552899,3075224
8562904,3072528
8572910,3075775
8582918,3072986
8592922,3084643
8602925,3082111
8612931,3078259
8622934,3066190
8632947,3082224
8642950,3079009
8652956,3078758
8662963,3072509
8672964,3081566
8682968,3062732
8692969,3084785
8702975,3068292
8712981,3075524
8722983,3066458
8732989,3074322
8742996,3066544
8752997,3081626
8763001,3063238
8773004,3081405
8783008,3066227
8793009,3082279
8803010,3063209
8813016,3084907
8823017,3072048
8833023,3075098
8843028,3072494
8853035,3081660
8863036,3082555
8873037,3082231
8883044,3072135
8893047,3081722
8903050,3081591
8913054,3088305
8923056,3058085
8933057,3087894
8943064,3082111
8953069,3087986
8963074,3069058
8973076,3076361
8983082,3071970
8993085,3084231
9003090,3068978
9013093,3075404
9023095,3072216
9033097,3078060
9043101,3082154
9053108,3087617
9063114,3080960
9073118,3075380
9083122,3072334
9093126,3078009
9103129,3072086
9113136,3081824
9123142,3072508
9133149,3081088
9143155,3072329
9153162,3075573
9163167,3071543
9173173,3075568
9183179,3069588
9193180,3081700
9203185,3069081
9213189,3081799
9223193,3078569
9233197,3088124
9243201,3072228
9253208,3071999
9263212,3070184
9273215,3075849
9283218,3078585
9293220,3084892
9303226,3074408
9313230,3087850
9323233,3082099
9333235,3087594
9343240,3081893
9353247,3077283
9363249,3062680
9373250,3082131
9383251,3078259
9393259,3087947
9403261,3081163
9413268,3087555
9423274,3073914
9433275,3075229
9443282,3065684
9453286,3082020
9463288,3081638
9473291,3087415
9483295,3081501
9493297,3088154
9503302,3072463
9513308,3081599
9523311,3075544
9533314,2949494
9543315,3047918
9553319,3055358
9563326,3045650
9573327,2986986
9583330,3048050
9593334,3075486
9603339,3066470
9613341,3075194
9623343,3066535
9633345,3081759
9643351,3063189
9653358,3082084
9663360,3069006
9673361,3075111
9683363,3072954
9693369,3087998
9703370,3081837
9713375,3075550
9723378,3072699
9733383,3081727
9743388,3073102
9753390,3081257
9763394,3075641
9773396,3087833
9783400,3082031
9793402,3078890
9803408,3072198
9813409,3081730
9823411,3053948
9833414,3071715
9843419,3072444
9853426,3081827
9863430,3081283
9873433,3087751
9883435,3065317
9893443,3077989
9903445,3081578
9913452,3075598
9923454,3072210
9933456,3084823
9943460,3072642
9953464,3078827
9963466,3065834
9973468,3079204
9983472,3066030
9993475,3075676
10003477,3066274
10013483,3075515
10023488,3058874
10033494,3080775
10043501,3050261
10053503,3069293
10063510,3072544
10073517,3087733
10083523,3063094
10093523,3081277
10103525,3074979
10113526,3081177
10123532,3072600
10133539,3074759
10143543,3074809
10153544,3087456
10163550,3082607
10173556,3082215
10183562,3066016
10193568,3076141
10203569,3065724
10213573,3081909
