Time(us),Frequency(kHz)
6771817,3072530
6781822,3084983
6791825,3075280
6801826,3084996
6811831,3078668
6821836,2938997
6831841,2881927
6841844,2887849
6851847,3062315
6861849,3088272
6871855,3071645
6881859,3071217
6891862,3069725
6901865,3078495
6911873,3072897
6921874,3081846
6931876,3066900
6941877,3052567
6951884,3058142
6961888,3057182
6971892,3072540
6981898,3081812
6991904,3079221
7001911,3084299
7011916,3081877
7021916,3065257
7031923,3063977
7041927,3063617
7051931,3060945
7061939,3081872
7071942,3075817
7081945,3078397
7091951,3066139
7101954,3082024
7111956,3066321
7121962,3081604
7131969,3066743
7141976,3075572
7151978,3072723
7161980,3085266
7171985,3065316
7181991,3073138
7191997,3066428
7202000,3072567
7212006,3063799
7222011,3078396
7232014,3053430
7242017,3075694
7252022,3066383
7262026,3081747
7272029,3073006
7282033,3075609
7292039,3063221
7302043,3075765
7312044,3066555
7322050,3081350
7332052,3024823
7342058,3088435
7352060,3082283
7362068,3087768
7372070,3082380
7382076,3082129
7392079,3066497
7402082,3081890
7412084,3066666
7422086,3082199
7432088,3071860
7442090,3082134
7452094,3066251
7462101,3078749
7472102,3066119
7482107,3081810
7492113,3079316
7502120,3075415
7512122,3069286
7522124,3040733
7532128,3023358
7542131,2935870
7552136,3038049
7562141,3052544
7572145,3055471
7582150,2930335
7592153,3019687
7602157,3081602
7612163,3066593
7622168,3081376
7632170,3075552
7642173,3084846
7652175,3082041
7662181,3078484
7672183,3072652
7682189,3084865
7692192,3069019
7702194,3081666
7712202,3071234
7722206,3081778
7732208,3075119
7742211,3088430
7752218,3078963
7762225,3088300
7772231,3081906
7782234,3074831
7792238,3072779
7802246,3088314
7812253,3081967
7822257,3075441
7832263,3072503
7842265,3075852
7852267,3053892
7862273,3072529
7872277,3066808
7882283,3081694
7892289,3075839
7902290,3088033
7912297,3072549
7922302,3075610
7932305,3072616
7942312,3051345
7952315,3072565
7962323,3041145
7972326,3065977
7982330,3063772
7992333,3066472
8002334,3072616
8012335,3066882
8022337,3056913
8032339,3056105
8042340,3068001
8052347,3072221
8062351,3071419
8072354,3056962
8082359,3078400
8092365,3081849
8102368,3088020
8112371,3081735
8122377,3088364
8132379,3060674
8142384,3076103
8152387,3069458
8162391,3081984
8172396,3061924
8182398,3075993
8192399,3072351
8202405,3088320
8212406,3081697
8222411,3079473
8232417,3072631
8242423,3081888
8252425,3071880
8262428,3085331
8272431,3079240
8282436,3084695
8292438,3078134
8302446,3088189
8312451,3082441
8322456,3088243
8332461,3075513
8342464,3081551
8352469,3068781
8362474,3087878
8372481,3081290
8382488,3078815
8392494,3065840
8402499,3081891
8412502,3072578
8422507,3085015
8432511,3082616
8442514,3088057
8452522,3047766
8462525,3084301
8472684,3082689
8482689,3075664
8492697,3077066
8502699,3076746
8512706,3077359
8522523,3070498
8532750,3079365
8542756,3069061
8552758,3040287
8562763,2975751
8572768,2900288
8582772,2977730
8592779,3011172
8602783,2982449
8612785,3047864
8622790,2986994
8632797,3059261
8642526,3067576
8652810,3077454
8662816,3066971
8672819,3078272
8682822,3073060
8692825,3079756
8702828,3073168
8712831,3084255
8722831,3075702
8732848,3080746
8742854,3056105
8752857,3084445
8762858,3075490
8772876,3084860
8782877,3079063
8792883,3075290
8802873,3065888
8812886,3081420
8822891,3073013
8832898,3084905
8842905,3050805
8852912,3081736
8862917,3078630
8872924,3069416
8882925,3072214
8892927,3081562
8902933,3061930
8912940,3087806
8922946,3082250
8932951,3075551
8942954,3060035
8952955,3082038
8962958,3062418
8972959,3081991
8982966,3075187
8992970,3084788
9002974,3079553
9012981,3085155
9022987,3069540
9032993,3077498
9042994,3072593
9052999,3088240
9063005,3067988
9073011,3027815
9083018,3068878
9093024,3075845
9103026,3072452
9113027,3075672
9123028,3069461
9133031,3082087
9143036,3072400
9153038,3081513
9163043,3072366
9173050,3065075
9183053,3034669
9193059,3078595
9203061,3063105
9213064,3077758
9223069,3058455
9233075,3072098
9243077,3062026
9253079,3082146
9263084,3065746
9273086,3075551
9283090,3071995
9293092,3085165
9303098,3081731
9313100,3064054
9323103,3062726
9333108,3081899
9343114,3081660
9353121,3088289
9363125,3081449
9373128,3088259
9383132,3074446
9393136,3087929
9403140,3076380
9413147,3080328
9423148,3072873
9433153,3081640
9443156,3072802
9453161,3081900
9463168,3075748
9473174,3081509
9483181,3065288
9493182,3065698
9503190,3067080
9513195,3081859
9523198,3063250
9533202,3082056
9543209,3056551
9553211,3075226
9563213,3063590
9573216,3079976
9583221,3071864
9593226,3075720
9603232,3042524
9613238,3014290
9623241,2899357
9633243,2955973
9643247,2955920
9653249,3039969
9663250,3071984
9673256,3075161
9683262,3081354
9693265,3088252
9703268,3082153
9713272,3088250
9723279,3081478
9733284,3088304
9743286,3062381
9753293,3088330
9763299,3081428
9773309,3087985
9783312,3082188
9793316,3088289
9803321,3081968
9813328,3054097
9823332,3050180
9833336,3053433
9843341,3040463
9853346,2929146
9863349,3049288
9873355,3088161
9883357,3063070
9893363,3075525
9903365,3035512
9913369,3084807
9923372,3081868
9933375,3077412
9943376,3066453
9953381,3081422
9963385,3066545
9973390,3075754
9983392,3072715
9993398,3084689
10003405,3078055
10013408,3088386
10023409,3075994
10033414,3051720
10043416,3069222
10053420,3065405
10063425,3072358
10073427,3073188
10083431,3062445
10093434,3081705
10103440,3075163
10113447,3088425
10123450,3082553
10133453,3078663
10143458,3066503
10153462,3044254
10163468,3062527
10173471,3070879
10183475,3075568
10193478,3088181
10203480,3082249
10213482,3082692
10223486,3065858
10233489,3081843
10243495,3071765
10253501,3081857
10263505,3066756
10273510,3042553
10283517,3053073
10293520,3078472
10303522,3069442
10313524,3081967
10323528,3066489
10333531,3072773
10343538,3066038
10353541,3084397
10363544,3082151
10373545,3087957
10383548,3072139
10393554,3081838
10403561,3062438
10413563,3081724
10423564,3035770
10433571,3082016
10443577,3062962
10453585,3081748
10463591,3079446
10473598,3088066
10483601,3081841
10493602,3065497
10503606,3060391
10513612,3081792
10523616,3074849
10533623,3078655
10543627,3066781
10553629,3078754
10563635,3064067
10573640,3072314
10583643,3059802
10593651,3072371
10603655,3069845
10613659,3071645
10623664,3072221
10633666,3084816
10643669,3065375
10653676,3068949
10663683,3072596
10673686,3087719
10683687,2953860
10693690,3029039
10703691,3021807
10713698,3075678
10723701,2962982
10733703,3013214
10743709,3072728
10753714,3081851
10763720,3072732
10773727,3081845
10783728,3072622
10793729,3081704
10803737,3075543
10813743,3087819
10823748,3082503
10833751,3078625
10843755,3060190
10853756,3080763
10863757,3054854
10873761,3081579
10883767,3055252
10893768,3084897
10903771,3068175
10913778,3063648
10923782,2913488
10933788,3081774
10943789,3072406
10953794,3057830
10963802,3073803
10973805,3080973
10983807,3066469
10993812,3081535
11003816,3072516
11013817,3079083
11023822,3081951
11033824,3088220
11043828,3082007
11053833,3050996
11063835,3068992
11073839,3081933
11083845,3072412
11093847,3081867
11103850,3062621
11113857,3054760
11123863,3059572
11133864,3075570
11143866,3075437
11153872,3083831
11163875,3082253
11173882,3070963
11183885,3075872
11193889,3084042
11203890,3082118
11213891,3088381
11223897,3081294
11233903,2982390
11243908,3058231
11253911,3074986
11263917,3072124
11273919,3075568
11283922,3072283
11293924,3075920
11303929,3069181
11313930,3088170
11323934,3081942
11333935,3088145
11343937,3082442
11353945,3087718
11363948,3069535
11373954,3081252
11383956,3081850
11393958,3088086
11403962,3082498
11413967,3087588
11423970,3081782
11433975,3070664
11443976,3071846
11453983,3082053
11463986,3072104
11473992,3077749
11483999,3052320
11494001,3081764
11504004,3074992
11514010,3069293
11524017,3044852
11534023,3072814
11544024,3060473
11554031,3062426
11564035,3069326
11574042,3072780
11584043,3066613
11594048,3081949
11604054,3078969
11614056,3088100
11624061,3081161
11634065,3088245
11644069,3082507
11654076,3078075
11664080,3066294
11674084,3081729
11684090,3071979
11694091,3078416
11704099,3072707
11714102,3065725
11724109,3007068
11734111,3061039
11744118,2998810
11754121,3020954
11764122,3056833
11774123,3068804
11784129,2997457
11794133,3003033
11804140,3066011
11814145,3082134
11824151,3066173
11834158,3081705
11844159,2954276
11854163,2966739
11864170,3079196
11874176,3078472
11884181,3069973
11894184,3078581
11904188,3075095
11914189,3085267
11924196,3074793
11934201,3084502
11944205,3056098
11954209,3048575
11964222,3048877
11974225,3069408
11984234,3049444
11994242,3065577
12004245,3066213
12014252,3073761
12024259,3072591
12034264,3081534
12044266,3075574
12054275,3072265
12064281,3068508
12074290,3085296
12084296,3078748
12094299,3088088
12104303,3082246
12114311,3087782
12124317,2969170
12134320,2891016
12144328,2890927
12154332,2990664
12164339,2899676
12174344,3066719
12184347,3063497
12194352,3082091
12204353,3063404
12214358,3074021
12224362,3062035
12234369,3071339
12244373,3072564
12254381,3063067
12264383,3059783
12274387,3084458
12284391,3082203
12294396,3078889
12304398,3078992
12314400,3088032
12324403,3075715
12334406,3087360
12344410,3081578
12354416,3080611
12364421,3075348
12374428,3085034
12384432,3082214
12394434,3081625
12404436,3072596
12414444,3081621
12424448,3056707
12434451,3082202
12444455,3066679
12454456,3049547
12464458,3069086
12474463,3072154
12484468,3072714
12494471,3081644
12504475,3079364
12514478,3087711
12524482,3082188
12534487,3074906
12544494,3072681
12554501,3082050
12564507,3075810
12574510,3078503
12584516,3072461
12594518,3081249
12604525,3072488
12614523,3081266
12624544,3075744
