Time(us),Frequency(kHz)
7352146,3071898
7362151,3084766
7372157,3081749
7382163,3077321
7392169,3066481
7402170,3081596
7412176,3081829
7422178,3075572
7432182,3075602
7442183,3088062
7452189,3082252
7462191,3080604
7472194,3075188
7482199,3088170
7492205,3081843
7502211,3088020
7512216,3081652
7522223,3087739
7532227,3081937
7542229,3087890
7552233,3069243
7562238,3081639
7572242,3075727
7582246,3084752
7592250,3068057
7602257,3078578
7612264,3072260
7622270,3076142
7632275,3075487
7642282,3078797
7652287,3072416
7662293,3075645
7672300,3072208
7682307,3071902
7692311,3078838
7702318,3084837
7712322,3069148
7722327,3076162
7732334,3072939
7742336,3075575
7752342,3066268
7762346,3070451
7772349,3058204
7782353,3075731
7792360,3065911
7802365,3058281
7812370,2916371
7822376,2942316
7832380,2965530
7842387,3011407
7852391,3047544
7862394,2965179
7872400,3072415
7882402,3077700
7892404,3081625
7902411,3088265
7912414,3077952
7922420,3079022
7932422,3072574
7942429,3081293
7952432,3078316
7962434,3081593
7972438,3069897
7982444,3079053
7992451,3066645
8002455,3081553
8012462,3078661
8022466,3084734
8032467,3076034
8042469,3072168
8052475,3065158
8062482,3078992
8072489,3068978
8082496,3084513
8092498,3062597
8102502,3078617
8112508,3066744
8122509,3084585
8132514,3069391
8142520,3067852
8152525,3063604
8162528,3075766
8172530,3072767
8182535,3084781
8192542,3075238
8202548,3078650
8212552,3072593
8222582,3075443
8232604,3073011
8242558,3078856
8252719,3072230
8262722,3069716
8272725,3070382
8282727,3073015
8292734,3070094
8302739,3077075
8312746,3073964
8322747,3060169
8332754,3061718
8342757,3076276
8352763,3077525
8362767,3079319
8372772,3080996
8382773,3066385
8392779,3078203
8402781,3078469
8412788,3081791
8422794,3080065
8432799,3082664
8442806,3078024
8452814,3082503
8462816,3080098
8472824,3083661
8482830,3058179
8492838,3063341
8502845,3064204
8512847,3077168
8522853,3078903
8532860,3087382
8542862,3073496
8552868,3075013
8562875,3072314
8572892,3084627
8582884,3069849
8592902,3081707
8602911,3063617
8612918,3077929
8622922,3063565
8632929,3080818
8642936,3072754
8652942,3085206
8662948,3070449
8672953,3075966
8682957,3081775
8692961,3087946
8702967,3065881
8712969,3081149
8722974,3074891
8732981,3074966
8742985,3072208
8752991,3075546
8762996,3072304
8773001,3065088
8783002,3072213
8793003,3081605
8803009,3081110
8813014,3078381
8823020,3071718
8833024,3075336
8843029,3062384
8853034,3081510
8863039,3075192
8873043,3088299
8883048,3054542
8893052,3040679
8903054,2998857
8913059,2977242
8923062,3071983
8933069,3081913
8943073,3082230
8953075,3087947
8963078,3081766
8973080,3072061
8983082,3065785
8993089,3082139
9003093,3072292
9013097,3084469
9023101,3072376
9033102,3076016
9043107,3071920
9053109,3059848
9063115,3068973
9073117,3075659
9083123,3072126
9093126,3084868
9103127,3075695
9113134,3079185
9123136,3066639
9133138,3081102
9143140,3075885
9153144,3088019
9163148,3082241
9173155,3087967
9183159,3082263
9193162,3088056
9203168,3081210
9213173,3087650
9223181,3081784
9233183,3081742
9243185,3065545
9253190,3081598
9263192,3081603
9273194,3087475
9283196,3081732
9293203,3088363
9303204,3081961
9313206,3077920
9323209,3078900
9333213,3074334
9343215,3069755
9353219,3081865
9363223,3081809
9373224,3088056
9383228,3082101
9393231,3088281
9403234,3066789
9413236,3081477
9423237,3079327
9433244,3087549
9443249,3081744
9453252,3087736
9463258,3069561
9473264,3075174
9483271,3066697
9493272,3081227
9503279,3072888
9513287,3074585
9523295,3072422
9533299,3085130
9543306,3068943
9553310,3081325
9563317,3072309
9573322,3081696
9583327,3072091
9593329,3081211
9603333,3082560
9613340,3078853
9623345,3065874
9633347,3084563
9643354,3082075
9653357,3088208
9663362,3082052
9673367,3078350
9683369,3072177
9693371,3085035
9703375,3069554
9713379,3075586
9723384,3062102
9733386,3081749
9743392,3066895
9753397,3081466
9763404,3072566
9773406,3077578
9783410,3081050
9793416,3087832
9803419,3081934
9813424,3075530
9823431,3068922
9833436,3085118
9843437,3081235
9853440,3078547
9863445,3072564
9873451,3075751
9883452,3066152
9893459,3057406
9903466,2951660
9913468,2936730
9923474,2974166
9933480,3019376
9943486,3061056
9953488,3061874
9963491,3073035
9973497,3088208
9983507,3081250
9993512,3088071
10003515,3081739
10013518,3087870
10023521,3075030
10033524,3084784
10043528,3079009
10053531,3084611
10063537,3075454
10073542,3085045
10083547,3078875
10093555,3080303
10103561,3031213
10113564,3066612
10123567,2921234
10133574,3081484
10143577,3068989
10153583,3088418
10163587,3081828
10173592,3088026
10183598,3081907
10193600,3088361
10203602,3082461
10213603,3087939
10223609,3082008
10233611,3087727
10243614,3082250
10253620,3088276
10263624,3081422
10273628,3081837
10283634,3066669
10293636,3060782
10303643,3062404
10313648,3069094
10323663,3072109
10333667,3077354
10343670,3052903
10353677,3081799
10363684,3081400
10373689,3088014
10383695,3082287
10393697,3087536
10403704,3074544
10413706,3076002
10423707,3072839
10433709,3087987
10443711,3081695
10453714,3088365
10463718,3072415
10473719,3075591
10483724,3066390
10493728,3081744
10503730,3055301
10513731,3082040
10523734,3072648
10533738,3069149
10543743,3072744
10553749,3084791
10563754,3080746
10573758,3088264
10583762,3069419
10593769,3078956
10603774,3064041
10613791,3075299
10623796,3072732
10633799,3075413
10643803,3074810
10653805,3088113
10663807,3075389
10673814,3087553
10683819,3081844
10693826,3088031
10703832,3082117
10713835,3088111
10723840,3075784
10733845,3081650
10743847,3059877
10753849,3072817
10763855,3069401
10773857,3064060
10783865,3059375
10793871,3072648
10803874,3055548
10813876,3075084
10823881,3063047
10833883,3070522
10843885,3058962
10853887,3059865
10863893,3078969
10873894,3084726
10883900,3058430
10893901,3079418
10903905,3066371
10913911,3038232
10923918,2919690
10933921,3084355
10943928,3058515
10953933,3082045
10963937,3007721
10973938,2995826
10983941,2946471
10993946,3024423
11003949,3064130
11013955,2897116
11023958,3051267
11033964,3069187
11043970,3070071
11053976,3078472
11063978,3075450
11073983,3074680
11083989,3060044
11093990,3078323
11103996,3075746
11114001,3085072
11124006,3070076
11134012,3081755
11144019,3061745
11154026,3081895
11164029,3072611
11174030,3084477
11184036,3082380
11194039,3088022
11204044,3081758
11214045,3087754
11224047,3072305
11234049,3081996
11244051,3066402
11254054,3081746
11264060,3078411
11274064,3088297
11284070,3070816
11294074,3081628
11304078,3081823
11314082,3088397
11324085,3072235
11334093,3068134
11344095,3064589
11354097,3074963
11364100,3076772
11374101,3088061
11384104,3081552
11394107,3087592
11404114,3081695
11414117,3072357
11424124,3072258
11434129,3081217
11444134,3081804
11454138,3078376
11464141,3069498
11474143,3081720
11484149,3072311
11494154,3078324
11504156,3072345
11514159,3081750
11524162,3060146
11534168,3081306
11544176,3063156
11554179,3073970
11564186,3070025
11574191,3075592
11584194,3066965
11594195,3071989
11604196,3072381
11614200,3068694
11624203,3081318
11634210,3080100
11644216,3072334
11654221,3082045
11664224,3071795
11674229,3081767
11684232,3071424
11694237,3087603
11704238,3081655
11714245,3084981
11724247,3069342
11734253,3069598
11744255,3071929
11754262,3066657
11764266,3061139
11774268,3071725
11784273,3064102
11794276,3075278
11804282,3071990
11814289,3084703
11824292,3081089
11834295,3087702
11844297,3078522
11854299,3087766
11864303,3081539
11874305,3087983
11884312,3075637
11894314,3088167
11904316,3082245
11914318,3087976
11924321,3081859
11934325,3087967
11944331,3070660
11954333,3074548
11964335,3066675
11974341,3075677
11984347,3062970
11994353,3074999
12004360,3075830
12014363,3087902
12024369,3009893
12034372,3030823
12044374,3053871
12054380,3075412
12064383,2944629
12074384,3067926
12084387,3072459
12094390,3074941
12104395,3072999
12114399,3087703
12124404,3069350
12134411,3081732
12144412,3074718
12154419,3079917
12164421,3066240
12174424,3081889
12184425,3082204
12194426,3080822
12204432,3081255
12214434,3067553
