Time(us),Frequency(kHz)
14586331,1200009
14596336,1200008
14616345,1200007
14626352,1200008
14646359,1200007
14656366,1200008
14666370,1200009
14676373,1200007
14686376,1200008
14696382,1200009
14706387,1200007
14716389,1200008
14736400,1200007
14746407,1200009
14756412,1200008
14806433,1200007
14816437,1200008
14856462,1200007
14866466,1200008
14966527,1200007
14976530,1200009
14986534,1200008
14996537,1200007
15006549,1200008
15116727,1200007
15126731,1200009
15136733,1200007
15146740,1200008
15156748,1200007
15166753,1200009
15176757,1200007
15186759,1200008
15206769,1200009
15216776,1200007
15226782,1200009
15236787,1200008
15296847,1200007
15306852,1200008
15316856,1200007
15326860,1200008
15356872,1200007
15366874,1200009
15376894,1200008
15476933,1200007
15486941,1200009
15496947,1200007
15506951,1200009
15516955,1200007
15526960,1200008
15586983,1200007
15596989,1200008
15667012,1200007
15677015,1200008
15717041,1200007
15727044,1200009
15737051,1200008
15777069,1200007
15787076,1200008
15837095,1200007
15847097,1200008
15857105,1200007
15867107,1200009
15877113,1200008
15917128,1200007
15927133,1200008
15937135,1200007
15947142,1200008
15987161,1200007
15997166,1200008
16017174,1200007
16027182,1200008
16057189,1200007
16067197,1200008
16077204,1200007
16087211,1200009
16097219,1200008
16157252,1200007
16167254,1200008
16197272,1200007
16207274,1200008
16307321,1200007
16317324,1200008
16337331,1200007
16347337,1200008
16357344,1200007
16367349,1200008
16377357,1200007
16387360,1200008
16467391,1200007
16477397,1200008
16517417,1200007
16527425,1200008
16597455,1200007
16607462,1200008
16647477,1200007
16657483,1200008
16697498,1200007
16707501,1200008
16717508,1200007
16727514,1200009
16737518,1200008
16747522,1200007
16757529,1200008
16787549,1200009
16797556,1200007
16807564,1200008
16817567,1200009
16827570,1200008
16857581,1200007
16867586,1200008
16897598,1200007
16907602,1200008
16937616,1200007
16947623,1200008
16967631,1200007
16977635,1200008
16987641,1200009
16997647,1200007
17007650,1200008
17027657,1200007
17037664,1200008
17097692,1200007
17107698,1200008
17117701,1200007
17127707,1200009
17137709,1200008
17147712,1200007
17157719,1200009
17167727,1200007
17177733,1200008
17197745,1200007
17207748,1200009
17217755,1200008
17277786,1200007
17287793,1200008
17297796,1200007
17307802,1200008
17317809,1200007
17327812,1200008
17387830,1200007
17397837,1200008
17447865,1200007
17457870,1200008
17487887,1200007
17497894,1200008
17527901,1200007
17537904,1200008
17577920,1200007
17587924,1200009
17597927,1200008
17677966,1200007
17687972,1200008
17697974,1200007
17707983,1200008
17727990,1200007
17737994,1200008
17778016,1200007
17788024,1200009
17798032,1200008
17828053,1200007
17838059,1200008
17848064,1200009
17858069,1200007
17868074,1200008
17908097,1200007
17918104,1200009
17928111,1200008
17968129,1200007
17978137,1200009
17988142,1200008
18018154,1200007
18028156,1200008
18048166,1200007
18058172,1200008
18088188,1200007
18098195,1200008
18108197,1200007
18118201,1200009
18128205,1200008
18148213,1200007
18158219,1200008
18178224,1200007
18188230,1200009
18198235,1200008
18218245,1200009
18228250,1200008
18238256,1200007
18248262,1200008
18348306,1200007
18358308,1200009
18368311,1200008
18378319,1200007
18388326,1200008
18418345,1200007
18428352,1200008
18468376,1200007
18478383,1200008
18488389,1200007
18498394,1200009
18508402,1200007
18518407,1200008
18678492,1200007
18688499,1200008
18708504,1200009
18718511,1200008
18848579,1200007
18858584,1200009
18868589,1200008
18878600,1200007
