Time(us),Frequency(kHz)
8482372,3081655
8492379,3068074
8502386,3087825
8512389,3082067
8522390,3082051
8532395,3072224
8542399,3081611
8552400,3072587
8562405,3084274
8572411,3082080
8582414,3087971
8592416,3082553
8602422,3087467
8612428,3081243
8622430,3087838
8632432,3069522
8642439,3075574
8652445,3061409
8662450,3075909
8672453,3072322
8682457,3071809
8692462,3072278
8702468,3081624
8712473,3071931
8722475,3081931
8732482,3072448
8742489,3078865
8752495,3066138
8762499,3081576
8772504,3075729
8782507,3075319
8792512,3064137
8802512,3068713
8812515,3072280
8822517,3081345
8832521,3069468
8842525,3075620
8852530,3072482
8862526,3077922
8872691,3077644
8882697,3081443
8892700,3072517
8902706,3076613
8912708,3077416
8922710,3084118
8932716,3085520
8942719,3074330
8952725,3075489
8962729,3076285
8972736,3073081
8982524,3075459
8992764,3078489
9002769,3074617
9012775,3078998
9022777,3071741
9032783,3064757
9042788,3067424
9052790,3061772
9062523,3082510
9072813,3087743
9082814,3082125
9092817,3087862
9102818,3070652
9112825,3080358
9122826,3073004
9132828,3084140
9142830,3058272
9152837,3077321
9162827,3075803
9172845,3087746
9182847,3081517
9192850,3063474
9202840,2980588
9212855,3035601
9222849,3063540
9232864,3066469
9242862,3033998
9252877,3081451
9262881,3074692
9272898,3087701
9282903,3082264
9292906,3084449
9302909,3075279
9312915,3078944
9322920,3078789
9332921,3084617
9342926,3075048
9352928,3078758
9362933,3069089
9372938,3069466
9382942,3075159
9392944,3084791
9402949,3006589
9412952,3061118
9422957,2960918
9432964,3078863
9442969,3063301
9452971,3074522
9462977,3068252
9472983,3085327
9482985,3065952
9492987,3068514
9502990,3062477
9512995,3081761
9522998,3063080
9533000,3068348
9543004,3062801
9553009,3075614
9563012,3071939
9573014,3084547
9583020,3069377
9593023,3081657
9603030,3082255
9613034,3075004
9623036,3066577
9633038,3075837
9643041,3068642
9653047,3087439
9663052,3081507
9673055,3087681
9683062,3068533
9693067,3075555
9703069,3073041
9713074,3081315
9723080,3070894
9733083,3081858
9743089,3072522
9753096,3081287
9763097,3072611
9773101,3082028
9783108,3069255
9793111,3081226
9803112,3072836
9813117,3085052
9823124,3082030
9833131,3075318
9843136,3070013
9853141,3075140
9863143,3065660
9873145,3079067
9883152,3065557
9893158,3078379
9903164,3078611
9913171,3084849
9923176,3075591
9933179,3084579
9943183,3067565
9953190,3054981
9963193,3068761
9973200,3084974
9983204,3079365
9993210,3085254
10003213,3075121
10013219,3078874
10023221,3069293
10033228,3078298
10043234,3069377
10053242,3078798
10063247,3069498
10073248,3078428
10083250,3066330
10093252,3075209
10103254,3075216
10113258,3088040
10123264,3082120
10133267,3081906
10143272,3072574
10153274,3081151
10163277,3065330
10173280,3081708
10183286,3069389
10193288,3065723
10203295,3056868
10213302,3068671
10223304,3056343
10233309,3081581
10243310,3063391
10253311,3027868
10263315,2892265
10273311,2967860
10283327,2911943
10293333,3012187
10303336,3065896
10313344,3042519
10323346,3048820
10333354,3084563
10343356,3081366
10353363,3068212
10363366,3061527
10373370,3081131
10383374,3078721
10393379,3081657
10403386,3072783
10413388,3081759
10423395,3078558
10433402,3074696
10443406,3072884
10453409,3087892
10463413,3075044
10473419,3079779
10483425,3072631
10493427,3065000
10503430,3075624
10513431,3087864
10523435,3081914
10533440,3087571
10543447,3081193
10553449,3081704
10563452,3078545
10573455,3087975
10583459,3081916
10593461,3082959
10603467,3072889
10613471,3075304
10623477,3072067
10633480,3084872
10643486,3082159
10653493,3088136
10663496,3075370
10673499,3068907
10683501,3072448
10693503,3081569
10703505,3059992
10713510,3075648
10723517,3072524
10733521,3081783
10743524,3081375
10753530,3088321
10763534,3081795
10773536,3087879
10783538,3081723
10793539,3075301
10803543,3072096
10813545,3081715
10823550,3081943
10833557,3088033
10843560,3068809
10853565,3065031
10863571,3075820
10873575,3069195
10883581,3066519
10893582,3082152
10903589,3078815
10913591,3069370
10923593,3069825
