Time(us),Frequency(kHz)
6021497,3081539
6031501,3069750
6041506,3085012
6051507,3068622
6061511,3085367
6071517,3060595
6081524,3081847
6091528,3072458
6101535,3077389
6111536,3072962
6121542,3087991
6131546,3082022
6141550,3088049
6151556,3081704
6161563,3075569
6171566,3075990
6181570,3088264
6191576,3068922
6201581,3081610
6211587,3078556
6221591,3088283
6231596,3081385
6241600,3088337
6251602,3075758
6261606,3075593
6271610,3072442
6281614,3084563
6291616,3081360
6301619,3087491
6311621,3081783
6321628,3088491
6331634,3081887
6341639,3087526
6351645,3082480
6361649,3078658
6371655,3066357
6381660,3081691
6391662,3075517
6401668,3087757
6411675,3053319
6421678,3074768
6431682,3066737
6441688,3081606
6451694,3062559
6461697,3088249
6471698,3078379
6481703,3078973
6491710,3072214
6501714,3081740
6511720,3082144
6521723,3078059
6531727,3072803
6541728,3081043
6551735,3078441
6561739,3078294
6571746,3057432
6581748,3072601
6591752,3066060
6601759,3081481
6611761,3071609
6621768,3087671
6631771,3081624
6641775,3087372
6651782,3063290
6661784,3075442
6671791,3072139
6681802,3078734
6691803,3066213
6701806,3081851
6711808,3064119
6721811,3081590
6731812,3078475
6741815,3087921
6751822,3081840
6761827,3087839
6771829,3081091
6781830,3056753
6791832,2916880
6801838,2957092
6811842,3003151
6821845,2919466
6831850,2890982
6841856,3055620
6851857,2885676
6861863,3020559
6871865,3068908
6881867,3057093
6891873,3060623
6901876,3077859
6911878,3075441
6921885,3075903
6931889,3072866
6941893,3081299
6951896,3079153
6961901,3087841
6971905,3068669
6981912,3081789
6991914,3078055
7001919,3075605
7011925,3072576
7021930,3082026
7031934,3075528
7041940,3078638
7051945,3069267
7061947,3074715
7071951,3060403
7081953,3078779
7091957,3068977
7101958,3078782
7111965,3072619
7121968,3085097
7131971,3081933
7141977,3087718
7151980,3082260
7161987,3087595
7171994,3081957
7181996,3088014
7192002,3065658
7202004,3079070
7212006,3065285
7222010,3087874
7232017,3081908
7242019,3088151
7252022,3081649
7262026,3087722
7272028,3072136
7282031,3081939
7292034,3078730
7302037,3087522
7312040,3081503
7322041,3087854
7332046,3081904
7342049,3081839
7352054,3082462
7362061,3088116
7372064,3082029
7382066,3082215
7392067,3072806
7402074,3085235
7412080,3081673
7422084,3088393
7432088,3081925
7442090,3075733
7452092,3066652
7462094,3081714
7472099,3072278
7482102,3081609
7492105,3071889
7502106,3081440
7512111,3075810
7522113,3088271
7532114,3082644
7542120,3088106
7552123,3082046
7562126,3087880
7572133,3071451
7582134,3081335
7592141,3072091
7602145,3087793
7612147,3071620
7622152,3081666
7632155,3075638
7642157,3088339
7652164,3082468
7662170,3072574
7672173,3063121
7682174,3057489
7692181,3075688
7702188,3087552
7712193,3075654
7722200,3087924
7732203,3075360
7742210,3084312
7752215,3081736
7762218,3087493
7772221,3081637
7782223,3087860
7792225,3082275
7802228,3087731
7812231,3082211
7822238,3087976
7832239,3063453
7842243,3063036
7852248,3061878
7862254,3044692
7872261,2997156
7882266,3036605
7892268,3066421
7902271,2958100
7912273,3066885
7922281,3081453
7932284,3075882
7942286,3087884
7952293,3055812
7962300,3078901
7972301,3060599
7982303,3078032
7992305,3072316
8002309,3084798
8012312,3072530
8022317,3072447
8032318,3072711
8042321,3084859
8052325,3082237
8062330,3087993
8072336,3081635
8082340,3087248
8092341,3075306
8102346,3087924
8112350,3081497
8122353,3087553
8132357,3081926
8142360,3075264
8152367,3066236
8162372,3081865
8172374,3075717
8182377,3073909
8192382,3072296
8202384,3081043
8212390,3071996
8222391,3082066
8232396,3081556
8242400,3087360
8252407,3081790
8262409,3088035
8272412,3081296
8282418,3088251
8292423,3075367
8302426,3087648
8312432,3069004
8322439,3081530
8332442,3060057
8342447,3075769
8352451,3072818
8362457,3082087
8372461,3069473
8382465,3081747
8392470,3078620
8402476,3081479
8412477,3072165
8422484,3081480
8432486,3056008
8442488,3088165
8452494,3069821
8462500,3078344
8472504,3072522
8482510,3081193
8492517,3060560
8502524,3075620
8512530,3071734
8522533,3081901
8532538,3072196
8542540,3081811
8552542,3072528
8562547,3081959
8572552,3081629
8582557,3087897
8592564,3045206
8602565,3079251
8612571,3050528
8622578,3072328
8632597,3070116
8642566,3074098
8652860,3074763
8662866,3072848
8672874,3080992
8682886,3075840
8692892,3078899
8702897,3065495
8712913,3075678
8722920,3075310
8732922,3088108
8742924,3070009
8752930,3075864
8762936,3066341
8772937,3081266
8782943,3078937
8792945,3088313
8802950,3081691
8812953,3082351
8822957,3081298
8832963,3088424
8842965,3081798
8852968,3077255
8862970,3075764
8872974,3072139
8882977,3068499
