Time(us),Frequency(kHz)
5961560,3087876
5971562,3080974
5981563,3087996
5991565,3082141
6001568,3081879
6011574,3077946
6021576,3087618
6031579,3082172
6041584,3088016
6051589,3081921
6061597,3087551
6071602,3058257
6081606,3084910
6091608,3077985
6101609,3087949
6111614,3082122
6121621,3087524
6131626,3081494
6141630,3087695
6151636,3076364
6161641,3087779
6171646,3082267
6181647,3088262
6191654,3081719
6201658,3087929
6211660,3081697
6221662,3088330
6231663,3082192
6241665,3087936
6251670,3081091
6261676,3074968
6271683,3045329
6281689,3081726
6291692,3072417
6301693,3082041
6311698,3073049
6321705,3081687
6331708,3071611
6341714,3087684
6351719,3081902
6361724,3088054
6371727,3082045
6381730,3088187
6391733,3082333
6401740,3087947
6411746,3081657
6421753,3088007
6431756,3082247
6441759,3087453
6451766,3082145
6461773,3087964
6471775,3082229
6481777,3081624
6491780,3075836
6501781,3084232
6511784,3082449
6521786,3087934
6531789,3082020
6541793,3088353
6551799,3082381
6561803,3088013
6571807,3081625
6581809,3087724
6591816,3082026
6601822,3088201
6611827,3081587
6621830,3088340
6631834,3081642
6641839,3087562
6651846,3081442
6661850,3087951
6671853,3081750
6681858,3084465
6691861,3078680
6701866,3087722
6711870,3081776
6721874,3087760
6731875,3082109
6741882,3087899
6751883,3081990
6761889,3088389
6771895,3081714
6781902,3087921
6791904,3082301
6801909,3088221
6811914,3081720
6821919,3080970
6831920,3081825
6841928,3087824
6851931,3081195
6861934,3087640
6871936,3066902
6881939,3078107
6891946,3069433
6901951,3084543
6911953,3074326
6921955,3088007
6931957,3081829
6941958,3087851
6951966,3082709
6961967,3087965
6971971,3081645
6981978,3088347
6991983,3082204
7001989,3088019
7011991,3081881
7021994,3087909
7031997,3068700
7041999,3075255
7052001,3075422
7062004,3087739
7072008,3081931
7082014,3088047
7092016,3077789
7102021,3087524
7112026,3081692
7122032,3087666
7132038,3081998
7142044,3087868
7152049,3076559
7162053,3084717
7172059,3060287
7182065,3078817
7192071,3072529
7202072,3081570
7212077,3072535
7222081,3081731
7232085,3072428
7242088,3087909
7252091,3082051
7262093,3084905
7272098,3076012
7282100,3084774
7292104,3074603
7302108,3087667
7312113,3072484
7322118,3081309
7332122,3065157
7342125,3080997
7352129,3074924
7362133,3081080
7372136,3053542
7382138,3082401
7392144,3074896
7402146,3088286
7412153,3082537
7422161,3088301
7432167,3081930
7442174,3087386
7452178,3082356
7462182,3087689
7472186,3081232
7482191,3088031
7492193,3081924
7502196,3081496
7512202,3075218
7522204,3084801
7532207,3079217
7542213,3088012
7552219,3081649
7562224,3088257
7572229,3075226
7582230,3088079
7592235,3081557
7602238,3087880
7612242,3082382
7622245,3087941
7632246,3081543
7642248,3087935
7652249,3077595
7662255,3087782
7672256,3078058
7682258,3084946
7692263,3078891
7702265,3084431
7712266,3072970
7722271,3081960
7732276,3082065
7742282,3087423
7752287,3081593
7762293,3087650
7772296,3081742
7782300,3087952
7792304,3081130
7802311,3084146
7812315,3082001
7822321,3087517
7832328,3081682
7842330,3087498
7852336,3082439
7862338,3088328
7872342,3075017
7882346,3084715
7892348,3079282
7902353,3076526
7912361,3072139
7922367,3085050
7932374,3078511
7942379,3084337
7952384,3075847
7962388,3085017
7972394,3078560
7982396,3075058
7992403,3066199
8002404,3081245
8012407,3078283
8022413,3076914
8032415,3075503
8042420,3084876
8052422,3075038
8062425,3085252
8072432,3056148
8082436,3084433
8092437,3075588
8102442,3085183
8112447,3071852
8122451,3081706
8132455,3072536
8142456,3081731
8152459,3066466
8162464,3084974
8172471,3075285
8182477,3085192
8192481,3078591
8202482,3084594
8212488,3075157
8222493,3084257
8232497,3081781
8242502,3087936
8252504,3077633
8262506,3087401
8272510,3082176
8282516,3088358
8292518,3081609
8302522,3088047
8312523,3078420
8322526,3077075
8332528,3071402
8342534,3087720
