Time(ms),Frequency(kHz)
9543,3066397
9553,3078668
9563,3069367
9573,3083908
9583,3082148
9593,3087858
9603,3081923
9613,3078818
9623,3072336
9633,3081572
9643,3072723
9653,3069619
9663,3072680
9673,3081602
9683,3072294
9693,3075405
9703,3075002
9713,3087662
9723,3081875
9733,3088062
9743,3060700
9753,3081688
9763,3065801
9773,3081636
9783,3066381
9793,3081926
9803,3075490
9813,3078510
9823,3072955
9833,3082013
9843,3072127
9853,3081418
9863,3061055
9873,3081686
9883,3073086
9893,3088395
9903,3060271
9913,3075593
9923,3072475
9933,3084493
9943,3066156
9953,3081458
9963,3081556
9973,3072002
9983,3062945
9993,3069341
10003,3047647
10013,2999059
10023,2984297
10033,2936605
10043,2925776
10053,3017961
10063,2906243
10073,3081438
10083,3078172
10093,3087740
10103,3074968
10113,3087780
10123,3081322
10133,3088018
10143,3072773
10153,3082077
10163,3068729
10173,3081712
10183,3060383
10193,3081646
10203,3073024
10213,3088102
10223,3081643
10233,3063198
10243,3068984
10253,3081233
10263,3075265
10273,3078658
10283,3072395
10293,3081372
10303,3075516
10313,3088373
10323,3081534
10333,3088049
10343,3081429
10353,3084821
10363,3075105
10373,3087898
10383,3082440
10393,3088245
10403,3070630
10413,3075333
10423,3072456
10433,3084942
10443,3067315
10453,3077861
10463,3069317
10473,3081379
10483,3077401
10493,3087937
10503,3080991
10513,3080891
10523,3082296
10533,3087393
10543,3074761
10553,3081996
10563,3078856
10573,3087777
10583,3081408
10593,3081850
10603,3051750
10613,3069180
10623,3053756
10633,3062843
10643,3060407
10653,3081108
10663,3078003
10673,3081780
10683,3072601
10693,3082013
10703,3066203
10713,3078088
10723,3078458
10733,3068318
10743,3061017
10753,3081663
10763,3074437
10773,3079911
10783,3072373
10793,3074796
10803,3072754
10813,3087713
10823,3082098
10833,3088157
10843,3081650
10853,3087489
10863,3064876
10873,3082022
10883,3072023
10894,3087868
10904,3071420
10914,3081037
10924,3068384
10934,3081841
10944,3072479
10954,3081395
10964,3072271
10974,3075693
10984,3065680
10994,3076087
11004,3072493
11014,3085145
11024,3075827
11034,3072589
11044,3060670
11054,3081521
11064,3075448
11074,3055909
11084,2996630
11094,3075001
11104,3072130
11114,3061479
11124,2964021
11134,2990028
11144,3060425
11154,3075563
11164,3072056
11174,3084384
11184,3081485
11194,3078369
11204,3072433
11214,3080792
11224,3066308
11234,3081677
11244,3079370
11254,3087740
11264,3072256
11274,3079015
11284,3061997
11294,3081739
11304,3065674
11314,3081943
11324,3078462
11334,3088045
11344,3082455
11354,3087571
11364,3075383
11374,3078630
11384,3065346
11394,3063140
11404,3067229
11414,3070823
11424,3072661
11434,3075856
11444,3069440
11454,3084878
11464,3081536
11474,3075581
11484,3072305
11494,3075330
11504,3071939
11514,3080972
11524,3072027
11534,3078577
11544,3074940
11554,3083977
11564,3072293
11574,3076052
11584,3062682
11594,3069404
11604,3063548
11614,3088086
11624,3072658
11634,3082057
11644,3072533
11654,3085073
11664,3081148
11674,3088034
11684,3081656
11694,3068552
11704,3072321
11714,3084656
11724,3074928
11734,3080647
11744,3072965
11754,3084966
11764,3075214
11774,3084488
11784,3078502
11794,3084847
11804,3075495
11814,3084694
11824,3078213
11834,3078440
11844,3072090
11854,3076042
11864,3072355
11874,3084691
11884,3081955
11894,3088058
11904,3071311
11914,3081529
11924,3063311
11934,3075440
11944,3059460
11954,3072935
11964,3069444
11974,3075465
11984,3072099
11994,3081768
12004,3079142
12014,3084567
12024,3074590
12034,3081651
12044,3048747
12054,3075383
12064,3072140
12074,3081431
12084,3078923
12094,3079076
12104,3072451
12114,3063124
12124,2992232
12134,3028235
12144,3062394
12154,3082021
12164,3078599
12174,3084720
12184,3081786
12194,3087690
12204,3082038
12214,3087866
12224,3082184
12234,3087533
12244,3081545
12254,3078645
12264,3072752
12274,3075255
12284,3085322
12294,3080767
12304,3056344
12314,3043698
12324,3067105
12334,2934787
12344,3003239
12354,3082569
12364,3077476
12374,3073698
12384,3074867
12394,3055919
12404,3070507
12414,3066430
12424,3081218
12434,3060892
12444,3074999
12454,3072463
12464,3061289
12474,3082407
12484,3087384
12494,3069106
12504,3081535
12514,3078432
12524,3078744
12534,3060280
12544,3084683
12554,3060296
12564,3078677
12574,3066522
12584,3081879
12594,3078041
12604,3087637
12614,3081843
12624,3063928
12634,3054199
12644,3063463
12654,3047784
12664,3049876
12674,3062827
12684,3075863
12694,3059458
12704,3069525
12715,3063391
12725,3081819
12735,3050083
12745,3069506
12755,3072004
12765,3088116
12775,3081196
12785,3087940
12795,3063188
12805,3081789
12815,3078481
12825,3087839
12835,3071675
12845,3075737
12855,3072794
12865,3081127
12875,3072192
12885,3082334
12895,3077881
12905,3068410
12915,3057825
12925,3072284
12935,3065853
12945,3060448
12955,3052380
12965,3071178
12975,3066525
12985,3081342
12995,3078774
13005,3087673
13015,3081425
13025,3087514
13035,3082024
13045,3088261
13055,3072360
13065,3081783
13075,3072340
13085,3084999
13095,3081889
13105,3087757
13115,3082026
13125,3087929
13135,3081829
13145,3075325
13155,3006600
13165,2922667
13175,2889179
13185,2887863
13195,3038709
13205,2933398
13215,2971876
13225,3082130
13235,3081390
13245,3088022
13255,3069259
13265,3081558
13275,3079070
13285,3082670
13295,3072569
13305,3084884
13315,3081892
13325,3088013
13335,3082000
13345,3075413
13355,3067194
13365,3078101
13375,3066512
13385,3081704
13395,3072356
13405,3088066
13415,3082384
13425,3072309
13435,3066014
13445,3080691
13455,3082642
13465,3087875
13475,3081618
13485,3087578
13495,3082594
13505,3081459
13515,3066719
13525,3082041
13535,3070274
13545,3065642
13555,3062751
13565,3075547
13575,3058661
13585,3066542
13595,3057515
13605,3081186
13615,3075194
13625,3087629
13635,3081724
13645,3088353
13655,3081226
13665,3087626
13675,3080980
13685,3088029
13695,3082192
13705,3075360
13715,3072426
13725,3072251
13735,3072052
13745,3055310
13755,3026432
13765,3069703
13775,3049230
13785,3069095
13795,3054193
13805,3069487
13815,3065859
13825,3075977
13835,3072703
13845,3061810
13855,3081665
13865,3087949
13875,3082119
13885,3075549
13895,3071915
13905,3073976
13915,3081733
13925,3087844
13935,3077914
13945,3088169
13955,3081828
13965,3075654
13975,3066181
13985,3087864
13995,3081927
14005,3087849
14015,3081886
14025,3088300
14035,3081100
14045,3087646
14055,3082112
14065,3088133
14075,3081548
14085,3087971
14095,3082239
14105,3088023
14115,3081607
14125,3084740
14135,3079155
14145,3084822
14155,3075006
14165,3087695
14175,3081766
14185,3081678
14195,3069132
14205,3081418
14215,3072707
14225,3031785
14235,3010208
14245,3039779
14255,3071995
14265,3075384
14275,3066309
14285,3025056
14295,2906219
14305,3084114
14315,3076114
14325,3081045
14335,3066731
14345,3075466
14355,3063420
14365,3081879
14375,3075354
14385,3081907
14395,3082179
14405,3075389
14415,3072718
14425,3084377
14435,3081484
14445,3066238
14455,3046058
14465,3069296
14475,3053813
14485,3071682
14495,3063196
14505,3075769
14515,3063615
14525,3067052
14535,3072578
14545,3081565
14555,3072302
14565,3081519
14575,3075443
14585,3087884
14595,3075240
14605,3074244
14615,3059915
14625,3075263
14635,3069382
14645,3078618
14655,3075837
14665,3075784
14675,3069504
14685,3081932
14695,3078613
14705,3088313
14715,3081895
14725,3087497
14735,3072967
14745,3051103
14755,3064717
14765,3084639
14775,3081792
14785,3087689
14795,3074690
14805,3087380
14815,3082087
14825,3088249
14835,3081857
14845,3087950
14855,3081680
14865,3088028
14875,3081298
14885,3088430
14895,3082131
14905,3069539
14915,3064259
14925,3081971
14935,3067416
14945,3082005
14955,3078453
14965,3083498
14975,3070339
14985,3081558
14995,3075105
15005,3087912
15015,3082044
15025,3083829
15035,3071881
15045,3081642
15055,3072650
15065,3075936
15075,3070240
15085,3081283
15096,3078276
15106,3078318
15116,3060223
15126,3081957
15136,3072370
15146,3082003
15156,3072630
